New Releases For 1/2/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. Click here for a complete list of this week's Digital New Releases. For more information, go to www.digitalcomicsreader.com.

 
PREVIEWS PUBLICATIONS

NOV120004 	PREVIEWS #292 JAN 2013 CUSTOMER ORDER FORM 	PI
OCT121256 	STROBE EDGE GN VOL 02 	$9.99
OCT128246 	SUPURBIA ONGOING #1 2ND PTG 	$3.99
OCT121147 	SYBIL THE BACKPACK FAIRY HC VOL 03 AITHOR 	$10.99
NOV121357 	TEZUKA BOOK OF HUMAN INSECTS TP (MR) 	$16.95
SEP121235 	TEZUKA MESSAGE TO ADOLF GN VOL 02 (MR) 	$26.95
OCT121026 	THUNDA #5 	$3.99
OCT121265 	ULTIMO GN VOL 08 	$9.99
NOV121051 	VAMPIRELLA STRIKES #1 CVR A TURNER 	$3.99
NOV121052 	VAMPIRELLA STRIKES #1 CVR B FINCH 	$3.99
NOV121053 	VAMPIRELLA STRIKES #1 CVR C MANARA 	$3.99
NOV121054 	VAMPIRELLA STRIKES #1 CVR D JOHNNY D 	$3.99
NOV121062 	VAMPIRELLA TP VOL 03 THRONE OF SKULLS 	$29.99
AUG121041 	WARLORD OF MARS DEJAH THORIS #20 (MR) 	$3.99
OCT121263 	WINX CLUB GN VOL 05 	$6.99
OCT121152 	XENOGLYPHS #1 	$3.99
SEP120962 	XIII CINEBOOK ED GN VOL 01 DAY O/T BLACK SUN 	$11.95
SEP120963 	XIII CINEBOOK ED GN VOL 02 WHERE THE INDIAN WALKS 	$11.95
SEP120964 	XIII CINEBOOK ED GN VOL 03 ALL THE TEARS OF HELL 	$11.95
SEP120965 	XIII CINEBOOK ED GN VOL 04 SPADS 	$11.95
OCT120968 	XIII CINEBOOK ED GN VOL 05 FULL RED 	$11.95
OCT120969 	XIII CINEBOOK ED GN VOL 06 JASON FLY CASE 	$11.95
OCT120970 	XIII CINEBOOK ED GN VOL 07 NIGHT OF AUGUST THIRD 	$11.95

MAGAZINES

OCT121320 	DC CHESS FIG COLL MAG SPECIAL #2 BAT SIGNAL 	$38.00
NOV121470 	DIABOLIQUE #13 	$9.98
SEP122070 	WHITE DWARF #395 	$10.00

BOOKS

OCT120753 	CONSPIRACY O/T PLANET O/T APES LEATHER BOUND ED (MR) 	$49.95
NOV121417 	DARK RISING ART OF ALY FELL SC (MR) 	$14.95
OCT120954 	JIM BALENT ART BOOK TRIO 	$24.99
OCT121310 	PIN-UP 365 DAY BY DAY IN PICTURES (MR) 	$29.99
OCT121223 	READ OR DIE ROD OFF ARCHIVE SC 	$39.99
